loan_date,loan_amount,loan_duration,loan_payments,loan_status,account_creation,transaction_count,transaction_avg_amount,transaction_min_balance,transaction_max_balance,transaction_avg_balance
950415,68400,12,5700,-1,941030,14,7253.299999999998,800,51242.2,31793.735714285718
961029,86184,12,7182,1,960306,42,16607.014285714286,300,128146,60273.67857142857
961003,101520,12,8460,1,960201,38,5370.042105263158,400,43218.7,26449.092105263153
960909,71460,36,1985,1,960113,31,10132.91935483871,700,76403.1,49220.980645161304
961128,61560,12,5130,1,960107,71,9739.397183098588,200,73559.9,32967.71267605635
941030,170256,24,7094,1,930808,77,9089.424675324672,200,79869.8,40091.18311688309
940730,299088,36,8308,-1,930606,126,12746.586507936518,500,193909.9,51992.85476190479
951118,182040,60,3034,1,941121,59,17539.79661016949,600,110447.5,67475.90169491527
951212,92976,24,3874,1,940522,109,12039.466972477068,300,122342.1,50436.46605504589
950329,185952,48,3874,1,940319,34,12283.385294117648,700,145318.2,50113.19411764704
960926,139464,36,3874,-1,950827,31,8131.070967741935,300,65062.8,31532.74838709678
950116,347952,48,7249,1,930330,120,13441.428333333342,300,123013.2,54157.19416666664
960718,20196,36,561,1,950211,96,8501.322916666666,200,77158.8,52636.59895833334
960629,46320,24,1930,1,950102,178,8064.270224719097,900,119892.5,43657.813483146136
951104,99336,24,4139,1,941209,52,4348.373076923078,300,46568,27019.571153846155
941211,199680,60,3328,1,931025,74,7353.527027027024,500,62238.8,33658.617567567584
960429,49440,60,824,1,950121,110,5547.669999999996,300,74419.8,47798.86545454544
950401,156672,36,4352,1,940225,75,3313.364,500,41876.9,22927.502666666667
950130,95808,12,7984,1,931127,90,16058.694444444445,900,122452.2,59701.78666666665
960415,200976,48,4187,1,950909,35,11032.88857142857,600,83553.5,47938.06571428572
940110,24516,12,2043,1,930227,73,16201.558904109586,200,125254.2,55582.226027397286
960112,165120,60,2752,1,940521,116,3217.270689655171,1100,37946.3,24377.371551724125
960613,360000,48,7500,1,941113,136,14897.40220588235,600,126072,51149.6551470588
960802,89340,60,1489,1,951109,44,4662.468181818182,500,54020.1,39644.76363636365
940308,91632,12,7636,1,930308,70,6304.105714285713,700,64577.8,40976.94285714286
931208,93888,36,2608,1,930705,19,7121.915789473684,600,52378.2,37510.494736842105
940705,111384,24,4641,1,930320,152,13525.023684210537,500,141386,65097.22434210523
940716,50460,60,841,1,931020,43,6392.972093023254,800,51971.4,37570.62790697674
960229,380160,60,6336,1,940730,109,15887.99357798165,1100,147375.1,64777.07522935781
940517,272520,60,4542,1,930618,84,10778.345238095239,1100,121891.4,44602.641666666656
941221,31248,12,2604,1,930530,120,13845.458333333341,1000,144715.3,64493.09916666663
960914,48744,36,1354,1,960503,14,11392.235714285716,900,62891.3,42930.20714285715
961204,155616,48,3242,1,960420,30,9151.153333333334,300,62153.6,39426.06999999999
960418,277884,36,7719,-1,940526,117,10720.307692307686,1000,129394.2,46487.002564102586
940902,82896,12,6908,1,930508,126,10765.977777777787,900,107680.9,57141.73095238093
950321,15420,12,1285,1,930523,151,3142.184105960262,1000,41137.4,24577.199999999997
960828,253512,36,7042,-1,960128,29,11379.25862068966,300,111044.2,37095.84482758621
960224,123216,48,2567,1,940812,128,12136.382031249996,700,138433.7,70622.83359375
961115,321180,60,5353,1,960327,38,13585.028947368419,700,90257.3,40524.463157894745
950103,177744,48,3703,-1,930810,95,6726.888421052629,-2485.5,89733.5,26746.525263157884
961215,222180,60,3703,-1,951129,59,11725.494915254236,800,130659.1,55230.444067796605
961004,77184,36,2144,1,950311,77,14561.25714285715,200,142917.9,50722.27012987011
940705,4980,12,415,1,931105,46,3932.5043478260886,800,41106.2,30533.371739130427
950801,44088,24,1837,1,941208,32,6617.940625,1000,55576.8,36548.81875
960524,161496,36,4486,1,940830,130,6844.426923076923,500,113865.5,33219.900000000016
950530,158760,60,2646,1,930727,166,4654.0891566265045,900,59898.4,24908.76144578313
940910,23628,12,1969,1,930312,110,9915.672727272724,1000,140228.7,47420.84181818182
950205,316140,60,5269,-1,930324,139,3872.0683453237393,800,39616.2,18632.933812949657
960723,444864,48,9268,1,950815,64,6433.176562499999,800,62903.5,32404.773437500007
950102,76380,12,6365,1,940501,45,3571.5911111111127,1100,41703.3,26122.848888888893
950402,18564,12,1547,1,941125,13,8589.66923076923,200,56498.4,35538.04615384616
961103,68544,24,2856,1,960219,54,8948.183333333334,900,94207.7,44948.62592592594
960208,63252,12,5271,1,940407,164,9457.760365853666,13097.7,86343.2,49291.82256097559
940928,23052,12,1921,1,930119,171,3618.326315789472,700,54321.8,23771.966081871346
950405,158976,48,3312,1,931103,156,8573.476923076922,600,130293.2,49916.09102564106
951128,137904,24,5746,-1,950722,12,6363.316666666666,600,43259.7,26886.191666666666
940827,79632,24,3318,1,940408,16,24948.65625,900,119373.5,63494.200000000004
940629,244560,60,4076,1,931014,42,10168.945238095239,1000,72512.5,38426.728571428575
941208,51408,24,2142,1,931116,64,13410.820312499996,900,137087.2,52299.2859375
950208,221280,48,4610,1,940115,71,11891.501408450704,1100,106144.8,37596.93239436619
950223,97224,24,4051,1,930910,112,3938.214285714283,1000,43393,22360.536607142865
951031,73836,36,2051,1,950426,19,16708.057894736838,900,129607.8,55315.168421052644
940926,87816,12,7318,1,930607,84,4538.899999999999,800,43442.2,25533.21428571429
961031,192744,36,5354,1,960616,26,15435.057692307691,200,128778.8,62590.42307692308
941003,192744,36,5354,1,930602,76,7643.909210526311,700,121508.1,37265.655263157896
960514,66480,24,2770,-1,951227,10,13609.12,900,77551,34798.28
960925,15192,24,633,1,941110,169,4099.694674556209,500,48157.1,29941.905325443775
960101,135360,48,2820,1,950103,77,14958.594805194803,200,146479.5,64881.31428571429
940604,300204,36,8339,1,930605,71,6578.118309859151,300,57676.7,34084.460563380286
950805,20220,12,1685,1,940827,51,9715.854901960784,500,122906.7,41077.63529411764
961010,64656,48,1347,1,960608,12,6379.075,200,44749,25896.466666666664
960825,402000,60,6700,1,951015,54,3029.88888888889,200,35650.8,21568.935185185186
950811,107640,24,4485,1,950213,23,17488.552173913045,600,107783.7,50214.50434782608
950709,465072,48,9689,1,940114,103,8579.534951456311,300,79557.6,27778.745631067944
950818,21396,12,1783,1,940604,78,4644.437179487177,1000,46848.9,30812.94615384615
960822,141648,24,5902,1,960204,18,14106.12222222222,200,123310.1,45100.422222222216
960304,213300,36,5925,1,950413,59,3730.2016949152558,400,42443.7,27951.91355932202
931104,117024,24,4876,1,930620,13,14122.576923076924,800,76985.2,44131.16923076923
960103,98832,48,2059,1,940206,177,4382.094350282484,500,63095.4,31814.268361581915
940723,143904,24,5996,1,930220,139,9194.261151079136,700,134571.2,49727.456115107925
961115,359760,60,5996,1,950729,48,8082.339583333331,900,127807.6,32434.693749999995
961128,179328,48,3736,1,960122,52,8935.784615384611,200,81614.7,44093.97115384614
960803,258444,36,7179,1,960111,16,8680.756249999999,600,61790.4,40688.1375
960203,128988,36,3583,-1,940801,82,7562.665853658535,-36.1,78192.9,34740.70243902438
961109,110112,24,4588,1,951215,82,17234.715853658534,700,135658.1,76232.69999999997
960725,11400,12,950,1,950803,77,2434.2441558441565,300,39514.1,27533.66363636363
960210,61656,24,2569,-1,950827,12,16007.958333333334,400,89256.9,44763.45833333334
940810,323472,48,6739,1,930621,57,12422.01578947368,200,119934.1,45414.07368421051
960111,20352,48,424,1,950403,48,3609.7416666666672,400,44427.9,31814.414583333335
960425,320976,48,6687,-1,950818,50,15093.958,1000,130775,49482.968
940804,14628,12,1219,1,930701,102,4093.035294117645,200,52184.7,32788.142156862734
940711,173808,24,7242,1,930623,75,17396.585333333333,1000,134416.6,61218.65866666666
940510,193968,36,5388,1,931025,29,16951.034482758623,800,120567.3,63579.21724137931
961112,276300,60,4605,1,950714,92,3104.7760869565227,500,40755,25997.563043478258
931122,79608,24,3317,1,930113,53,17600.358490566032,800,125825.7,69954.57169811323
940227,300660,60,5011,1,930429,66,10342.530303030304,800,135175.2,45854.89090909089
940407,149340,60,2489,1,930521,56,5778.791071428573,500,53214,29069.116071428572
960603,368880,60,6148,1,941022,182,11574.082967032975,1100,151062.3,60030.74340659335
930924,174744,24,7281,-1,930414,32,11557.950000000003,1000,105628,37485.456249999996
940617,174744,24,7281,-1,930322,118,7375.6279661016915,-1369.2,96659.4,26252.814406779675
940911,209184,48,4358,1,930816,68,14438.211764705879,1000,110583.8,46230.339705882354
960718,32640,48,680,1,950324,107,2772.7598130841125,300,43206,25906.40934579439
960410,44628,12,3719,1,940714,146,14238.080821917807,900,112689.5,49477.32123287672
960809,44376,12,3698,1,960227,39,15332.387179487176,800,124090,53505.215384615396
941102,83016,12,6918,1,930208,196,13414.556632653079,700,136436.6,67891.93520408169
950425,225420,60,3757,1,940617,51,5452.343137254899,200,53271.6,31185.1568627451
950725,285600,60,4760,1,941115,49,10411.720408163263,1100,126077.1,49651.8918367347
950710,98592,24,4108,1,950108,26,10807.380769230771,900,78713.7,54128.565384615365
950316,103680,60,1728,-1,930720,109,3896.3825688073357,500,46520.1,28250.10917431192
960221,290700,60,4845,-1,950125,100,14274.570999999998,-2825.2,129626.3,59647.42399999999
951216,232560,48,4845,1,950705,27,13066.725925925924,600,102665.9,63188.63333333333
951128,31176,24,1299,1,950608,23,9027.317391304348,700,65769.6,46304.152173913026
960506,123600,60,2060,1,950714,49,9121.306122448976,300,105255.7,39514.6775510204
940418,65184,12,5432,1,930125,82,11972.676829268288,900,102410.3,47426.54999999998
940606,87216,48,1817,-1,931126,33,4041.37878787879,200,41410,28362.248484848486
940930,141240,24,5885,1,930907,102,9343.385294117643,1000,107784.1,57219.574509803926
941103,61056,48,1272,1,931121,64,5646.3390625,900,55816,36039.0515625
950304,28248,24,1177,1,930824,94,8111.6808510638275,400,69893,45582.44893617019
931201,464520,60,7742,-1,930319,68,13335.798529411763,200,125943.1,51760.01617647061
941002,11736,24,489,1,930422,133,6032.843609022555,1100,70826.8,42224.43909774433
940708,276660,36,7685,-1,930828,58,3499.286206896553,500,32720.4,19256.89482758621
950108,270648,36,7518,-1,940307,72,12958.563888888886,200,134501.4,60819.97638888886
941104,59760,24,2490,1,931227,54,8295.155555555553,300,69643.1,40204.46481481482
941220,398640,60,6644,1,930726,86,16552.962790697675,400,121689.5,63383.57558139535
940607,87360,24,3640,1,930721,30,8145.613333333333,200,69174.6,36783.95000000002
960811,85632,48,1784,1,950405,85,15232.292941176467,800,156504.1,65066.73529411765
950212,79920,60,1332,1,931126,95,7707.406315789473,700,74199.5,43846.97789473684
960806,270384,48,5633,1,950527,87,12403.50689655172,700,91294.4,47654.244827586175
941025,17508,12,1459,1,930801,72,4842.765277777779,900,54432.3,39290.618055555555
960916,181020,60,3017,1,950315,93,7273.759139784942,500,60475.3,34005.90645161289
960212,72408,24,3017,-1,951009,13,13997.223076923077,700,83619.5,45099.26153846154
941220,36684,12,3057,1,930329,125,4768.6432,700,50774.2,30229.797600000013
961111,110136,24,4589,1,950508,63,11660.536507936507,400,140542.8,50815.80476190476
950206,43164,12,3597,1,940208,69,14188.256521739127,800,120071.4,68377.06376811591
940526,76908,12,6409,-1,930126,102,12928.499019607838,1100,126002.8,52890.40392156866
940331,212400,36,5900,1,930305,71,11301.5661971831,300,133215.2,51034.361971830986
951112,60156,36,1671,-1,950327,56,15972.280357142854,400,159712.8,72667.63571428572
961023,22968,36,638,1,960625,11,4184.636363636364,1000,38831,23324.93636363636
931208,95400,36,2650,1,930315,47,10370.702127659575,200,92354.8,41562.32340425534
950114,137880,60,2298,-1,930915,89,6024.03258426966,200,52658.4,24523.073033707864
951031,37908,12,3159,1,940728,76,7485.496052631574,800,69530.4,42164.027631578945
951205,194880,48,4060,1,940601,113,8187.945132743361,300,71138.8,36421.42566371682
940526,25944,24,1081,1,930908,37,10704.751351351353,600,80155.2,56927.45405405403
960725,96768,36,2688,1,950727,66,13244.225757575752,900,117830.9,51611.34242424241
931209,47016,12,3918,1,930414,42,12252.22380952381,200,112901.6,60382.08571428571
941106,48672,36,1352,1,930917,97,1577.49381443299,300,33484.4,23050.189690721658
960919,74124,36,2059,1,950409,122,9023.625409836068,400,159765.9,54371.299180327886
960804,155640,24,6485,1,950619,105,5793.879999999998,500,72838.9,45183.3495238095
950606,63360,60,1056,1,930906,119,3181.7697478991568,700,40733.8,29108.36386554621
940105,80952,24,3373,1,930226,54,7937.749999999999,1100,67529.6,33312.53888888889
960429,30276,12,2523,-1,950407,92,5028.04565217391,1000,58621.4,31318.872826086954
940315,55368,24,2307,1,930318,98,8702.475510204076,200,113350.7,46061.31938775512
940526,63312,48,1319,1,930419,82,2011.2317073170734,500,31462.9,22551.779268292692
940316,91200,24,3800,1,930728,36,9999.52222222222,700,76736.9,32558.533333333326
950103,288468,36,8013,1,940829,17,8402.382352941177,600,71939.2,36999.52352941177
951102,41952,12,3496,1,940903,105,5890.407619047617,500,71527,41502.0257142857
951231,309600,48,6450,1,950117,56,16045.607142857143,400,112363.1,58185.589285714275
951212,191880,60,3198,1,950315,87,12113.755172413792,400,128539.4,53685.786206896526
950327,31728,24,1322,1,930905,117,5173.091452991451,600,56122.8,31139.747863247856
960518,320592,48,6679,1,950208,88,13875.417045454546,500,117827.8,60781.30681818183
940311,51696,24,2154,1,930208,102,13901.26960784313,600,124339.4,58226.50490196079
951211,27984,12,2332,1,940710,76,7289.584210526321,500,82352.4,30639.86315789473
940522,196080,48,4085,1,931003,47,10472.497872340424,900,97457.4,49143.96595744681
961029,372120,60,6202,1,950105,172,15182.09651162792,500,128495.4,64044.045930232496
960101,189696,24,7904,1,950409,89,11582.991011235956,700,125386.9,54137.10561797751
950202,20832,48,434,1,930801,151,2499.0682119205276,500,41997.9,21368.909933774838
940928,189696,24,7904,-1,940517,5,4500,600,22500,14900
940625,91584,24,3816,1,931126,31,15002.819354838708,1000,83039.4,50765.41612903225
950118,68112,12,5676,1,930804,147,9898.47551020409,300,111588.8,47220.13401360546
961119,72120,12,6010,1,950314,102,14376.881372549013,1000,109338.9,75686.06568627451
951008,21852,36,607,1,950422,18,9232.249999999998,700,60863.2,38509.05000000001
960922,84120,24,3505,1,960609,19,14769.099999999999,900,89570.9,56910.689473684215
940930,71460,12,5955,1,931108,43,10433.43953488372,200,82549,47991.530232558136
940605,77640,12,6470,1,930707,60,13255.798333333336,700,117489.5,55570.304999999964
961020,93600,24,3900,1,951217,55,7856.4127272727255,900,96108.3,40078.70727272727
941106,140400,36,3900,1,931010,45,10991.504444444443,400,115000.2,43563.619999999995
940601,208320,48,4340,1,930207,85,9434.437647058825,200,82981.9,43944.88941176472
940217,49320,12,4110,-1,930903,49,10548.35918367347,900,126833,46576.27755102042
960220,56100,60,935,1,950111,68,3856.6014705882358,1000,45346.1,20158.001470588235
960715,155880,24,6495,1,941013,142,12237.183098591557,1000,164648.6,63263.1471830986
940730,74736,36,2076,1,930626,67,8191.962686567163,700,62084,37912.99850746266
950613,29784,24,1241,1,950208,12,6943.3499999999985,200,49220.3,27626.083333333332
940520,80340,12,6695,1,930705,52,15464.398076923078,1100,122523.5,61531.59038461539
940825,224604,36,6239,1,930324,93,14537.803225806449,200,109178.4,57496.989247311816
930913,87840,24,3660,1,930512,17,9496.929411764704,500,65847.8,46318.55294117647
950319,134784,24,5616,1,940604,55,9329.634545454543,900,112839.2,44005.11272727273
940509,89040,60,1484,1,930412,87,3441.2045977011494,800,46550.2,30045.4
960310,247728,48,5161,1,950808,50,12112.076,200,108390.1,60054.734
940330,7656,24,319,1,930328,81,6436.609876543208,600,73069.1,46444.63950617287
950601,417060,60,6951,1,931120,74,10583.993243243245,200,127508.6,58445.02702702706
951014,266220,60,4437,1,940510,144,5581.28125,900,66744.4,34922.88125000001
960506,220620,60,3677,1,941202,128,6331.021874999996,1100,70272.7,36907.45624999998
940121,21072,24,878,1,930908,15,3164.4733333333334,1100,33467,21575.68666666666
950623,265320,36,7370,1,930918,148,5332.347972972971,700,61993.3,35566.88108108108
950903,85860,60,1431,1,940629,96,3377.4270833333344,1000,44713.5,30461.404166666685
940811,74688,12,6224,1,930402,112,11551.496428571427,1100,104902.4,48484.624107142874
960919,174048,48,3626,1,951010,69,13503.126086956521,600,127067.6,72968.38115942029
960530,173016,36,4806,1,950717,94,13519.828723404256,300,123928.2,61799.24361702127
940614,288360,60,4806,1,940227,10,8585.04,800,58495.8,33211.759999999995
950311,76680,24,3195,1,930912,143,9877.504195804204,1000,104676.1,62933.474825174824
940929,230220,36,6395,-1,931008,82,7188.852439024389,-2719.7,130801,27658.487804878045
950410,47304,24,1971,1,931110,167,13867.846706586834,400,148093,68740.02335329345
960714,85716,36,2381,1,960212,19,7206.1578947368425,800,52782.7,31337.257894736842
950826,33984,48,708,1,940824,70,4598.144285714287,600,55077.5,38587.75999999999
951225,125340,60,2089,1,940905,127,9686.672440944883,500,110933.4,51145.51574803152
961221,45024,48,938,1,960521,39,7779.8153846153855,800,63659.3,41994.907692307694
941012,227880,36,6330,1,930925,83,8156.793975903612,1100,153213.7,45134.721686747
960608,186384,48,3883,1,940902,190,11952.684210526306,700,129557.3,61578.30157894735
960326,100224,48,2088,-1,951122,18,4932.616666666666,700,46487.1,28124.933333333334
961004,70656,48,1472,1,960105,53,5188.339622641511,600,55343.2,32646.850943396224
961212,155616,48,3242,1,950121,172,4895.974418604647,200,75294.1,44197.50988372091
931216,38148,12,3179,1,930628,29,8369.555172413793,900,62324.6,37462.09310344827
940803,189300,60,3155,1,930616,102,5114.498039215686,800,61043.3,32354.031372548998
940807,172080,48,3585,1,940121,42,11368.769047619047,200,119138.8,60743.957142857136
930728,127080,60,2118,1,930208,24,5417.458333333333,800,49590.4,30060.954166666666
960911,29448,12,2454,-1,960515,11,8271.872727272728,800,43790.6,28977.436363636356
931221,86616,12,7218,1,930818,15,5323.546666666666,800,48353.1,25714.046666666665
940711,39576,12,3298,1,930204,115,8275.28347826087,300,103467.2,48944.82782608698
940919,41904,12,3492,1,930124,143,6720.900699300698,900,129123,36080.38671328671
940604,52128,24,2172,1,930913,71,6031.725352112672,144.2,59944.2,33459.68028169013
940805,120888,36,3358,1,930327,96,9301.089583333332,600,116468.4,40838.75520833332
961029,86184,12,7182,1,960306,42,16523.60238095238,300,128146,59935.271428571425
950508,36396,12,3033,1,930706,158,11730.839873417724,800,125887.5,57977.034810126555
950909,188688,48,3931,1,950402,22,10873.772727272726,400,71255.7,42203.17272727272
961122,228276,36,6341,1,960609,20,7186.860000000001,500,60236.6,41402.135
961115,46176,48,962,1,960607,17,8573.594117647059,1000,54705.1,33613.10588235294
951212,104712,24,4363,1,940522,108,12019.660185185186,300,119752.3,52379.128703703704
950411,104712,24,4363,1,930520,191,11980.31256544504,400,147603.2,57357.84345549743
951122,244368,48,5091,1,940722,144,17859.12708333333,200,143453.3,75924.24097222224
950111,76416,24,3184,1,930313,153,6527.337254901959,8686.4,64494.1,31375.160784313717
960606,176148,36,4893,1,960123,13,17599.43846153846,1100,83783.4,47154.50000000001
950613,139536,24,5814,1,931114,165,14454.311515151527,800,151546.9,63889.87393939397
951122,113796,36,3161,1,941201,72,6453.25138888889,500,58022.1,36840.57361111111
950211,151728,48,3161,-1,940516,57,8289.664912280698,-669.7,82784.6,30491.098245614034
960727,133968,48,2791,1,951109,79,9939.873417721517,200,117458.5,46772.3151898734
960926,96168,12,8014,1,950119,149,8240.561744966444,600,138010.1,50492.688590604004
950413,126600,24,5275,1,930520,132,11683.987878787892,400,94043.3,47118.993181818165
940521,97632,12,8136,1,930724,65,15218.433846153841,1100,119900.1,53379.127692307746
950315,331560,60,5526,1,930821,119,7321.519327731092,900,71924.6,36941.99831932774
950922,36168,12,3014,1,950304,36,6931.622222222222,300,63738,39063.766666666656
960802,89340,60,1489,1,951109,44,4646.670454545455,500,54628.1,40005.48181818183
960711,19044,36,529,1,950528,69,6600.440579710142,600,64981.1,43121.75507246379
960925,194940,36,5415,1,950615,91,12668.317582417583,600,138172.6,56669.78791208787
940406,167100,60,2785,1,930506,79,14332.407594936709,1100,143605.7,63707.62658227851
951020,231696,36,6436,1,940701,126,10683.37222222222,800,108575.3,45873.61666666666
940827,121896,24,5079,1,930428,93,13230.344086021498,600,133454.9,54422.59677419357
940502,215388,36,5983,-1,931127,15,6110.86,1000,50757,32702.726666666666
931223,75624,24,3151,-1,930610,23,13406.739130434786,400,89754.8,50009.90869565217
961118,421008,48,8771,1,960119,50,8521.961999999998,600,72330.4,37436.42199999999
931213,259740,60,4329,1,930711,17,13038.088235294117,800,79633.5,45198.15294117647
931110,21924,36,609,1,930117,45,5957.544444444445,1100,60432.4,34272.21333333333
961211,123408,24,5142,1,951123,65,5789.864615384614,700,85626.9,28359.255384615386
960928,54396,36,1511,1,960321,23,3853.8260869565215,800,42308.8,30293.708695652174
940603,151560,24,6315,1,931121,28,16935.55357142857,300,97912.7,53976.29285714286
950703,60000,60,1000,1,930913,137,2567.8445255474417,400,39393.9,24643.28394160584
941219,482940,60,8049,-1,930829,130,4060.6807692307684,900,57707.2,26358.754615384616
961205,417600,60,6960,1,951024,34,8159.970588235291,200,87052.1,43196.744117647046
950624,198240,24,8260,1,950115,16,7546.887500000001,300,51947.2,30953.143750000003
951028,260028,36,7223,1,931208,161,12514.357142857156,200,124900.7,50676.81987577643
960321,154656,48,3222,1,941223,89,6653.895505617973,1000,61782,31791.328089887644
941221,115992,36,3222,1,930417,127,6214.3740157480315,200,107692,25666.407086614156
960917,68832,36,1912,1,951023,53,7828.981132075469,700,61939.6,37557.05471698113
940823,45768,12,3814,1,931122,27,5645.466666666667,800,78327.5,32555.818518518518
960213,113544,36,3154,1,950220,71,6453.483098591548,700,68048.1,33990.41971830985
940728,131292,36,3647,1,930529,83,7915.58313253012,1000,70288.4,36635.11566265062
940223,197748,36,5493,1,930913,16,14293.412499999999,300,74413.6,44735.43125000001
951002,314520,60,5242,1,940605,130,15168.362307692307,500,128119.4,63527.42
961225,115812,36,3217,1,950520,124,13280.084677419369,1100,119527.2,56646.51612903226
931013,154416,48,3217,1,930420,32,9740.15,8897,81723.5,46715.8
930906,274740,60,4579,1,930214,27,18945.966666666664,600,122893.1,57188.21111111111
950304,168984,24,7041,-1,930810,160,11357.38687500001,-517.7,120806.4,56053.99750000002
951204,217152,36,6032,1,950129,57,12666.78245614035,400,109774.3,49107.06666666666
960820,148920,60,2482,1,960201,31,7832.083870967741,400,63289.9,32435.3193548387
940612,69360,48,1445,1,930319,78,4748.167948717949,1100,52365,33857.10641025642
940131,108144,36,3004,1,930520,55,13671.429090909087,900,123863.4,54652.89818181817
940301,182628,36,5073,1,931010,13,8281.607692307693,500,52246,33229.10769230769
960119,89880,24,3745,1,950818,29,13517.224137931036,800,116004.2,62571.28275862067
961002,392460,60,6541,1,941124,143,12882.523076923088,900,115913.4,57131.740559440565
930915,52788,12,4399,1,930114,43,3714.8976744186057,1000,41469.1,22198.179069767448
951029,419880,60,6998,1,950526,18,24426.47222222222,200,104039.9,59352.83333333334
960806,54024,12,4502,1,941001,147,8708.722448979586,1000,81705.8,36480.185034013586
961227,129408,24,5392,1,951014,107,4550.302803738316,1000,56055.6,30869.781308411246
