amount,count,relative
50.2,11,0.0028
50.3,8,0.002
50.4,8,0.002
50.5,13,0.0033
50.6,11,0.0028
50.7,5,0.0013
50.8,7,0.0018
50.9,10,0.0025
51.0,83,0.0209
51.1,15,0.0038
51.2,9,0.0023
51.3,8,0.002
51.4,9,0.0023
51.5,7,0.0018
51.6,16,0.004
51.7,15,0.0038
51.8,11,0.0028
51.9,13,0.0033
52.0,11,0.0028
52.1,17,0.0043
52.2,9,0.0023
52.3,9,0.0023
52.4,12,0.003
52.5,13,0.0033
52.6,10,0.0025
52.7,11,0.0028
52.8,12,0.003
52.9,14,0.0035
53.0,48,0.0121
53.1,13,0.0033
53.2,15,0.0038
53.3,12,0.003
53.4,18,0.0045
53.5,16,0.004
53.6,18,0.0045
53.7,12,0.003
53.8,14,0.0035
53.9,16,0.004
54.0,17,0.0043
54.1,17,0.0043
54.2,15,0.0038
54.3,15,0.0038
54.4,12,0.003
54.5,17,0.0043
54.6,12,0.003
54.7,19,0.0048
54.8,12,0.003
54.9,18,0.0045
55.0,48,0.0121
55.1,18,0.0045
55.2,11,0.0028
55.3,14,0.0035
55.4,21,0.0053
55.5,18,0.0045
55.6,16,0.004
55.7,22,0.0055
55.8,16,0.004
55.9,11,0.0028
56.0,105,0.0265
56.1,11,0.0028
56.2,25,0.0063
56.3,16,0.004
56.4,13,0.0033
56.5,18,0.0045
56.6,13,0.0033
56.7,16,0.004
56.8,14,0.0035
56.9,21,0.0053
57.0,91,0.0229
57.1,17,0.0043
57.2,23,0.0058
57.3,17,0.0043
57.4,23,0.0058
57.5,22,0.0055
57.6,23,0.0058
57.7,25,0.0063
57.8,22,0.0055
57.9,27,0.0068
58.0,14,0.0035
58.1,24,0.0061
58.2,19,0.0048
58.3,21,0.0053
58.4,28,0.0071
58.5,29,0.0073
58.6,26,0.0066
58.7,17,0.0043
58.8,23,0.0058
58.9,22,0.0055
59.0,58,0.0146
59.1,23,0.0058
59.2,35,0.0088
59.3,24,0.0061
59.4,25,0.0063
59.5,25,0.0063
59.6,20,0.005
59.7,26,0.0066
59.8,30,0.0076
59.9,26,0.0066
60.0,92,0.0232
60.1,25,0.0063
60.2,27,0.0068
60.3,22,0.0055
60.4,33,0.0083
60.5,24,0.0061
60.6,34,0.0086
60.7,32,0.0081
60.8,26,0.0066
60.9,24,0.0061
61.0,91,0.0229
61.1,27,0.0068
61.2,21,0.0053
61.3,24,0.0061
61.4,21,0.0053
61.5,33,0.0083
61.6,32,0.0081
61.7,30,0.0076
61.8,34,0.0086
61.9,32,0.0081
62.0,48,0.0121
62.1,35,0.0088
62.2,27,0.0068
62.3,24,0.0061
62.4,34,0.0086
62.5,25,0.0063
62.6,36,0.0091
62.7,37,0.0093
62.8,36,0.0091
62.9,38,0.0096
63.0,22,0.0055
63.1,37,0.0093
63.2,28,0.0071
63.3,37,0.0093
63.4,31,0.0078
63.5,32,0.0081
63.6,30,0.0076
63.7,28,0.0071
63.8,41,0.0103
63.9,31,0.0078
64.0,77,0.0194
64.1,27,0.0068
64.2,29,0.0073
64.3,36,0.0091
64.4,36,0.0091
64.5,36,0.0091
64.6,50,0.0126
64.7,26,0.0066
64.8,40,0.0101
64.9,34,0.0086
65.0,88,0.0222
65.1,42,0.0106
65.2,42,0.0106
65.3,35,0.0088
65.4,30,0.0076
65.5,36,0.0091
65.6,23,0.0058
65.7,37,0.0093
65.8,30,0.0076
65.9,27,0.0068
66.0,77,0.0194
66.1,35,0.0088
66.2,43,0.0108
66.3,28,0.0071
66.4,36,0.0091
66.5,35,0.0088
66.6,30,0.0076
66.7,44,0.0111
66.8,33,0.0083
66.9,49,0.0124
67.0,118,0.0297
67.1,39,0.0098
67.2,34,0.0086
67.3,37,0.0093
67.4,45,0.0113
67.5,33,0.0083
67.6,36,0.0091
67.7,37,0.0093
67.8,41,0.0103
67.9,40,0.0101
68.0,157,0.0396
68.1,32,0.0081
68.2,44,0.0111
68.3,47,0.0118
68.4,30,0.0076
68.5,30,0.0076
68.6,34,0.0086
68.7,50,0.0126
68.8,37,0.0093
68.9,39,0.0098
69.0,47,0.0118
69.1,35,0.0088
69.2,35,0.0088
69.3,43,0.0108
69.4,39,0.0098
69.5,46,0.0116
69.6,36,0.0091
69.7,49,0.0124
69.8,35,0.0088
69.9,43,0.0108
70.0,70,0.0176
70.1,43,0.0108
70.2,49,0.0124
70.3,42,0.0106
70.4,35,0.0088
70.5,40,0.0101
70.6,49,0.0124
70.7,45,0.0113
70.8,30,0.0076
70.9,43,0.0108
71.0,85,0.0214
71.1,48,0.0121
71.2,49,0.0124
71.3,30,0.0076
71.4,33,0.0083
71.5,36,0.0091
71.6,31,0.0078
71.7,38,0.0096
71.8,43,0.0108
71.9,44,0.0111
72.0,109,0.0275
72.1,27,0.0068
72.2,43,0.0108
72.3,32,0.0081
72.4,39,0.0098
72.5,51,0.0129
72.6,51,0.0129
72.7,43,0.0108
72.8,37,0.0093
72.9,42,0.0106
73.0,99,0.025
73.1,43,0.0108
73.2,26,0.0066
73.3,54,0.0136
73.4,49,0.0124
73.5,35,0.0088
73.6,35,0.0088
73.7,35,0.0088
73.8,52,0.0131
73.9,53,0.0134
74.0,82,0.0207
74.1,39,0.0098
74.2,42,0.0106
74.3,56,0.0141
74.4,37,0.0093
74.5,41,0.0103
74.6,28,0.0071
74.7,42,0.0106
74.8,44,0.0111
74.9,61,0.0154
75.0,26,0.0066
75.1,43,0.0108
75.2,40,0.0101
75.3,40,0.0101
75.4,34,0.0086
75.5,38,0.0096
75.6,40,0.0101
75.7,45,0.0113
75.8,46,0.0116
75.9,31,0.0078
76.0,45,0.0113
76.1,38,0.0096
76.2,28,0.0071
76.3,56,0.0141
76.4,53,0.0134
76.5,43,0.0108
76.6,48,0.0121
76.7,39,0.0098
76.8,42,0.0106
76.9,41,0.0103
77.0,123,0.031
77.1,43,0.0108
77.2,41,0.0103
77.3,37,0.0093
77.4,37,0.0093
77.5,46,0.0116
77.6,54,0.0136
77.7,49,0.0124
77.8,41,0.0103
77.9,45,0.0113
78.0,68,0.0171
78.1,44,0.0111
78.2,46,0.0116
78.3,51,0.0129
78.4,31,0.0078
78.5,51,0.0129
78.6,49,0.0124
78.7,56,0.0141
78.8,36,0.0091
78.9,36,0.0091
79.0,44,0.0111
79.1,39,0.0098
79.2,38,0.0096
79.3,41,0.0103
79.4,41,0.0103
79.5,46,0.0116
79.6,41,0.0103
79.7,34,0.0086
79.8,44,0.0111
79.9,44,0.0111
80.0,53,0.0134
80.1,42,0.0106
80.2,42,0.0106
80.3,40,0.0101
80.4,50,0.0126
80.5,49,0.0124
80.6,47,0.0118
80.7,45,0.0113
80.8,42,0.0106
80.9,49,0.0124
81.0,28,0.0071
81.1,47,0.0118
81.2,46,0.0116
81.3,70,0.0176
81.4,46,0.0116
81.5,43,0.0108
81.6,52,0.0131
81.7,38,0.0096
81.8,36,0.0091
81.9,46,0.0116
82.0,121,0.0305
82.1,52,0.0131
82.2,27,0.0068
82.3,49,0.0124
82.4,36,0.0091
82.5,41,0.0103
82.6,48,0.0121
82.7,37,0.0093
82.8,40,0.0101
82.9,46,0.0116
83.0,39,0.0098
83.1,45,0.0113
83.2,39,0.0098
83.3,41,0.0103
83.4,38,0.0096
83.5,41,0.0103
83.6,54,0.0136
83.7,39,0.0098
83.8,40,0.0101
83.9,40,0.0101
84.0,48,0.0121
84.1,45,0.0113
84.2,35,0.0088
84.3,60,0.0151
84.4,45,0.0113
84.5,46,0.0116
84.6,48,0.0121
84.7,43,0.0108
84.8,42,0.0106
84.9,45,0.0113
85.0,67,0.0169
85.1,35,0.0088
85.2,40,0.0101
85.3,45,0.0113
85.4,44,0.0111
85.5,37,0.0093
85.6,51,0.0129
85.7,51,0.0129
85.8,47,0.0118
85.9,40,0.0101
86.0,42,0.0106
86.1,39,0.0098
86.2,41,0.0103
86.3,35,0.0088
86.4,49,0.0124
86.5,37,0.0093
86.6,49,0.0124
86.7,38,0.0096
86.8,51,0.0129
86.9,30,0.0076
87.0,42,0.0106
87.1,29,0.0073
87.2,54,0.0136
87.3,48,0.0121
87.4,47,0.0118
87.5,36,0.0091
87.6,40,0.0101
87.7,43,0.0108
87.8,32,0.0081
87.9,40,0.0101
88.0,52,0.0131
88.1,41,0.0103
88.2,31,0.0078
88.3,49,0.0124
88.4,37,0.0093
88.5,55,0.0139
88.6,46,0.0116
88.7,40,0.0101
88.8,48,0.0121
88.9,47,0.0118
89.0,80,0.0202
89.1,49,0.0124
89.2,63,0.0159
89.3,39,0.0098
89.4,44,0.0111
89.5,55,0.0139
89.6,42,0.0106
89.7,31,0.0078
89.8,49,0.0124
89.9,54,0.0136
90.0,39,0.0098
90.1,46,0.0116
90.2,55,0.0139
90.3,41,0.0103
90.4,50,0.0126
90.5,49,0.0124
90.6,45,0.0113
90.7,53,0.0134
90.8,40,0.0101
90.9,55,0.0139
91.0,50,0.0126
91.1,47,0.0118
91.2,50,0.0126
91.3,31,0.0078
91.4,42,0.0106
91.5,37,0.0093
91.6,31,0.0078
91.7,36,0.0091
91.8,42,0.0106
91.9,44,0.0111
92.0,71,0.0179
92.1,39,0.0098
92.2,38,0.0096
92.3,40,0.0101
92.4,55,0.0139
92.5,39,0.0098
92.6,51,0.0129
92.7,35,0.0088
92.8,59,0.0149
92.9,32,0.0081
93.0,52,0.0131
93.1,30,0.0076
93.2,52,0.0131
93.3,52,0.0131
93.4,52,0.0131
93.5,41,0.0103
93.6,42,0.0106
93.7,55,0.0139
93.8,42,0.0106
93.9,57,0.0144
94.0,51,0.0129
94.1,30,0.0076
94.2,47,0.0118
94.3,37,0.0093
94.4,51,0.0129
94.5,48,0.0121
94.6,57,0.0144
94.7,45,0.0113
94.8,54,0.0136
94.9,49,0.0124
95.0,90,0.0227
95.1,54,0.0136
95.2,40,0.0101
95.3,53,0.0134
95.4,44,0.0111
95.5,38,0.0096
95.6,34,0.0086
95.7,34,0.0086
95.8,50,0.0126
95.9,42,0.0106
96.0,61,0.0154
96.1,49,0.0124
96.2,46,0.0116
96.3,47,0.0118
96.4,40,0.0101
96.5,39,0.0098
96.6,56,0.0141
96.7,40,0.0101
96.8,63,0.0159
96.9,36,0.0091
97.0,39,0.0098
97.1,41,0.0103
97.2,49,0.0124
97.3,44,0.0111
97.4,46,0.0116
97.5,44,0.0111
97.6,45,0.0113
97.7,39,0.0098
97.8,39,0.0098
97.9,56,0.0141
98.0,52,0.0131
98.1,43,0.0108
98.2,38,0.0096
98.3,63,0.0159
98.4,45,0.0113
98.5,52,0.0131
98.6,73,0.0184
98.7,52,0.0131
98.8,57,0.0144
98.9,60,0.0151
99.0,66,0.0166
99.1,66,0.0166
99.2,52,0.0131
99.3,48,0.0121
99.4,54,0.0136
99.5,33,0.0083
99.6,48,0.0121
99.7,48,0.0121
99.8,53,0.0134
99.9,59,0.0149
100.0,1844,0.4649
100.1,52,0.0131
100.2,49,0.0124
100.3,63,0.0159
100.4,62,0.0156
100.5,59,0.0149
100.6,51,0.0129
100.7,40,0.0101
100.8,71,0.0179
100.9,49,0.0124
101.0,58,0.0146
101.1,31,0.0078
101.2,48,0.0121
101.3,56,0.0141
101.4,51,0.0129
101.5,50,0.0126
101.6,54,0.0136
101.7,52,0.0131
101.8,74,0.0187
101.9,42,0.0106
102.0,82,0.0207
102.1,53,0.0134
102.2,36,0.0091
102.3,57,0.0144
102.4,43,0.0108
102.5,48,0.0121
102.6,52,0.0131
102.7,47,0.0118
102.8,62,0.0156
102.9,74,0.0187
103.0,47,0.0118
103.1,41,0.0103
103.2,53,0.0134
103.3,48,0.0121
103.4,63,0.0159
103.5,41,0.0103
103.6,51,0.0129
103.7,50,0.0126
103.8,46,0.0116
103.9,55,0.0139
104.0,46,0.0116
104.1,59,0.0149
104.2,47,0.0118
104.3,64,0.0161
104.4,49,0.0124
104.5,53,0.0134
104.6,47,0.0118
104.7,50,0.0126
104.8,42,0.0106
104.9,69,0.0174
105.0,86,0.0217
105.1,46,0.0116
105.2,53,0.0134
105.3,59,0.0149
105.4,61,0.0154
105.5,60,0.0151
105.6,44,0.0111
105.7,47,0.0118
105.8,64,0.0161
105.9,67,0.0169
106.0,46,0.0116
106.1,52,0.0131
106.2,46,0.0116
106.3,65,0.0164
106.4,50,0.0126
106.5,52,0.0131
106.6,57,0.0144
106.7,37,0.0093
106.8,53,0.0134
106.9,44,0.0111
107.0,129,0.0325
107.1,48,0.0121
107.2,46,0.0116
107.3,57,0.0144
107.4,63,0.0159
107.5,39,0.0098
107.6,51,0.0129
107.7,49,0.0124
107.8,49,0.0124
107.9,41,0.0103
108.0,70,0.0176
108.1,52,0.0131
108.2,43,0.0108
108.3,50,0.0126
108.4,43,0.0108
108.5,47,0.0118
108.6,58,0.0146
108.7,43,0.0108
108.8,63,0.0159
108.9,49,0.0124
109.0,91,0.0229
109.1,45,0.0113
109.2,53,0.0134
109.3,36,0.0091
109.4,41,0.0103
109.5,41,0.0103
109.6,66,0.0166
109.7,52,0.0131
109.8,60,0.0151
109.9,60,0.0151
110.0,89,0.0224
110.1,52,0.0131
110.2,54,0.0136
110.3,54,0.0136
110.4,60,0.0151
110.5,51,0.0129
110.6,56,0.0141
110.7,48,0.0121
110.8,50,0.0126
110.9,42,0.0106
111.0,49,0.0124
111.1,47,0.0118
111.2,60,0.0151
111.3,61,0.0154
111.4,50,0.0126
111.5,55,0.0139
111.6,58,0.0146
111.7,57,0.0144
111.8,45,0.0113
111.9,52,0.0131
112.0,58,0.0146
112.1,50,0.0126
112.2,35,0.0088
112.3,61,0.0154
112.4,42,0.0106
112.5,46,0.0116
112.6,52,0.0131
112.7,57,0.0144
112.8,40,0.0101
112.9,58,0.0146
113.0,44,0.0111
113.1,52,0.0131
113.2,55,0.0139
113.3,46,0.0116
113.4,43,0.0108
113.5,44,0.0111
113.6,49,0.0124
113.7,44,0.0111
113.8,48,0.0121
113.9,43,0.0108
114.0,39,0.0098
114.1,60,0.0151
114.2,52,0.0131
114.3,51,0.0129
114.4,61,0.0154
114.5,46,0.0116
114.6,34,0.0086
114.7,37,0.0093
114.8,39,0.0098
114.9,38,0.0096
115.0,95,0.0239
115.1,62,0.0156
115.2,51,0.0129
115.3,50,0.0126
115.4,44,0.0111
115.5,41,0.0103
115.6,46,0.0116
115.7,44,0.0111
115.8,57,0.0144
115.9,37,0.0093
116.0,51,0.0129
116.1,55,0.0139
116.2,37,0.0093
116.3,39,0.0098
116.4,48,0.0121
116.5,54,0.0136
116.6,38,0.0096
116.7,51,0.0129
116.8,50,0.0126
116.9,50,0.0126
117.0,41,0.0103
117.1,54,0.0136
117.2,56,0.0141
117.3,34,0.0086
117.4,36,0.0091
117.5,47,0.0118
117.6,58,0.0146
117.7,49,0.0124
117.8,52,0.0131
117.9,40,0.0101
118.0,88,0.0222
118.1,45,0.0113
118.2,50,0.0126
118.3,43,0.0108
118.4,62,0.0156
118.5,57,0.0144
118.6,47,0.0118
118.7,45,0.0113
118.8,42,0.0106
118.9,40,0.0101
119.0,57,0.0144
119.1,43,0.0108
119.2,51,0.0129
119.3,53,0.0134
119.4,43,0.0108
119.5,39,0.0098
119.6,48,0.0121
119.7,42,0.0106
119.8,36,0.0091
119.9,53,0.0134
120.0,79,0.0199
120.1,62,0.0156
120.2,43,0.0108
120.3,43,0.0108
120.4,47,0.0118
120.5,45,0.0113
120.6,41,0.0103
120.7,49,0.0124
120.8,46,0.0116
120.9,38,0.0096
121.0,124,0.0313
121.1,44,0.0111
121.2,41,0.0103
121.3,54,0.0136
121.4,46,0.0116
121.5,50,0.0126
121.6,42,0.0106
121.7,49,0.0124
121.8,43,0.0108
121.9,49,0.0124
122.0,72,0.0182
122.1,43,0.0108
122.2,44,0.0111
122.3,43,0.0108
122.4,49,0.0124
122.5,48,0.0121
122.6,44,0.0111
122.7,41,0.0103
122.8,57,0.0144
122.9,45,0.0113
123.0,96,0.0242
123.1,46,0.0116
123.2,41,0.0103
123.3,33,0.0083
123.4,44,0.0111
123.5,40,0.0101
123.6,38,0.0096
123.7,48,0.0121
123.8,44,0.0111
123.9,38,0.0096
124.0,49,0.0124
124.1,57,0.0144
124.2,58,0.0146
124.3,55,0.0139
124.4,48,0.0121
124.5,40,0.0101
124.6,43,0.0108
124.7,53,0.0134
124.8,46,0.0116
124.9,50,0.0126
125.0,56,0.0141
125.1,44,0.0111
125.2,37,0.0093
125.3,34,0.0086
125.4,65,0.0164
125.5,41,0.0103
125.6,50,0.0126
125.7,46,0.0116
125.8,42,0.0106
125.9,35,0.0088
126.0,41,0.0103
126.1,46,0.0116
126.2,43,0.0108
126.3,42,0.0106
126.4,42,0.0106
126.5,53,0.0134
126.6,44,0.0111
126.7,39,0.0098
126.8,36,0.0091
126.9,56,0.0141
127.0,91,0.0229
127.1,40,0.0101
127.2,44,0.0111
127.3,51,0.0129
127.4,50,0.0126
127.5,46,0.0116
127.6,42,0.0106
127.7,35,0.0088
127.8,33,0.0083
127.9,41,0.0103
128.0,53,0.0134
128.1,45,0.0113
